Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Netherlands,NLD,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.10841844592014,0.0936515926623977,0.106330108757209,0.122921582615376,0.103782287822878,0.158427329830081,0.124915921975593,0.114606015773955,0.0743663368381912,0.0938605331278282,0.0880695749642217,0.107251626481034,0.101744877097894,0.0948378458792026,0.0861985557344029,0.0880355495933596,0.0500162333388907,0.100679587213692,0.112054729889125,0.108298361987275
Netherlands,NLD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,4.95028767849003,4.86988281844468,2.78307502051478,4.18591889370576,4.41881918819188,4.38018096417534,4.24500603226461,4.07893228868214,4.15005474188684,3.77615744857431,4.00016012649993,3.50996124776138,3.99372414776779,3.87626450461172,3.73644351795657,3.32774377462899,3.63363547818151,3.79000561482313,2.84166863253912,3.95579106151734
Netherlands,NLD,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,51.7587196767159,55.1081090572797,58.5520613016192,56.0445590736981,58.9886992619926,57.4823442782073,57.4090088935866,57.5947322907659,56.8282757338511,59.2674926393582,57.6445391859569,57.8167211356531,58.0135976798365,58.9101085986314,60.5782339851,63.1617338811101,60.9627686178848,54.7871207574203,55.1417394039475,49.8191804134677
Netherlands,NLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.809,73.64,74.453,75.25,76.03,76.795,77.83,79.113,80.341,81.514,82.63,83.636,84.539,85.402,86.288,87.134,87.879,88.588,89.187,89.69
Mexico,MEX,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,18.0810256949188,19.9389946160529,15.7803609703092,13.5076575390556,17.1176439872592,16.1093958915765,13.3194384731854,11.4338216761907,8.41599038172528,10.6093449447141,11.0496554584317,11.8098385582734,10.3064024849965,14.553218350259,9.97856241176602,13.4758671249233,11.9725450948139,10.3776348509901,9.41794528564606,12.9000053068697
Mexico,MEX,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,5.54555724869949,4.99584630701816,6.24264894652314,5.08217044058276,5.22270377525978,3.99708277622463,4.07779875507038,4.466572877954,4.44591202157338,3.86980549955174,4.30876347859376,4.21486256894826,3.92842063994692,3.64034680578505,3.92188351994741,2.13365174187133,3.332441511341,2.85455752730871,3.96870774839738,3.20966115636692
Mexico,MEX,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,16.1053018758867,14.6958291849249,15.112273348737,18.0286773740565,18.8099838128557,21.4556946639115,26.020150662654,34.1667392230812,40.1431734379829,42.7926240513841,40.1335098577171,46.3250866944399,49.7979432431617,52.096986799844,54.6542722050838,53.348189172416,54.3301260772054,53.8661840717643,55.7499175988645,57.0362459203439
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.368,73.67,73.929,74.186,74.441,74.722,75.045,75.365,75.682,75.997,76.308,76.616,76.92,77.222,77.52,77.815,78.111,78.405,78.699,78.993
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,18.9080616004937,17.4003925053692,17.2537257194371,17.8158458244111,16.4370160501384,16.40538216086,18.7333932498688,17.4090356216191,14.8465397185929,16.0446416658573,15.8777203929188,15.2056173965109,14.7865646491701,16.8778706645304,16.5714641024737,16.9489736500775,14.6241302346658,17.3087339499897,16.7313490296358,18.5524939791678
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1.27322370757823,1.32729763756202,1.26931528460552,1.20770877944325,1.20563549305725,1.23453056564026,1.17978404387997,1.51901504324843,2.26831802088703,2.29039955489035,2.12312424963987,1.91360363774157,1.893174151911,1.97260890318803,1.88782902891769,1.76021942226301,1.83533583670166,1.95384626495467,2.05300514092809,2.33928636039921
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0.297545227072945,0.261793675479523,0.711073626977308,0.521798715203426,0.388168013116901,0.42581973803198,0.333164747739456,0.253541970445494,0.269788643756002,0.338551995868395,0.485589486119787,0.831101964651212,1.03318615755426,0.996947091083977,1.53935561219587,1.85988100649861,2.0390613027675,1.98157092497651,1.96121927679729,2.02100518113681
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.961,31.916,32.883,33.867,34.865,35.877,37.093,38.425,39.776,41.144,42.522,43.868,45.199,46.539,47.88,49.226,50.511,51.765,53.013,54.259
Pakistan,PAK,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,40.7430166616922,35.2778012684989,35.4919153728582,34.3109983493306,29.3219823654606,25.2422338363967,26.1507662570758,29.5241995138962,33.3341581096128,29.9793294327856,32.9620096337673,32.5343895410994,30.0090946153605,30.3265805099546,29.4608681061694,33.7038057297847,29.9894836470712,31.0605981794538,30.6247357700142,30.3529367779564
Pakistan,PAK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.84800814649648,0.585200845665962,0.603330383718124,0.434064926331234,0.60656734569778,2.93176346232897,3.16305398315615,2.29842544647575,2.1774093777063,3.26408109402189,2.6530241698619,2.32963049698105,3.21656683496932,1.76606706252183,3.03491091372422,3.62349550771317,5.53685981701546,4.73654096228869,4.89065682770283,4.7575429020077
